vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
1GKER23D19J189811,2009,GMC,Acadia,SLT1,SUV,Carbon Black Metallic,Ebony,Automatic,17,24,149291,7691,Ancira Nissan,2021-08-28
5NPDH4AE6DH242473,2013,Hyundai,Elantra,GLS,Sedan,Desert Bronze,Beige,Automatic,28,38,98720,9291,Ancira Nissan,2021-08-28
1N6BD06T07C465396,2007,Nissan,Frontier,XE,Extended Cab Pickup,Avalanche,Steel,Automatic,19,24,159242,9991,Ancira Nissan,2021-08-28
3VWDP7AJ5DM405512,2013,Volkswagen,Jetta,2.5L SE,4D Sedan,Silver,Titan Black,6-Speed Automatic,24,31,90999,9991,Ancira Chevy,2021-08-28
1N4AL3AP8DC916119,2013,Nissan,Altima,2.5 S,4dr Car,Java Metallic,Charcoal,Variable,27,38,124357,10475,Ancira Kia,2021-08-28
2C4RC1BG3DR577177,2013,Chrysler,Town & Country,Touring,4D Passenger Van,Blue,Black/Light Graystone Interior,6-Speed Automatic,17,25,105956,10971,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2021-08-28
3VWD17AJ1EM370633,2014,Volkswagen,Jetta,SE,Sedan,Platinum Gray Metallic,Titan Black,Automatic,25,36,45713,10991,Ancira Nissan,2021-08-28
1C3CCCAB5GN130220,2016,Chrysler,200,Limited,Sedan,Billet Silver Metallic Clearcoat,Black,Automatic,23,36,109914,11788,Ancira Nissan,2021-08-28
1VWAS7A35FC122292,2015,Volkswagen,Passat,1.8T Limited Edition,4dr Car,Silver,Titan Black,Automatic,24,36,135891,11988,Ancira Volkswagen of San Antonio,2021-08-28
1G1PC5SB9F7133348,2015,Chevrolet,Cruze,LT,Sedan,Summit White,Jet Black,Automatic,26,38,63662,11991,Ancira Nissan,2021-08-28
3VW2B7AJ2HM323796,2017,Volkswagen,Jetta,1.4T S,4D Sedan,Black,Titan Black/Palladium Gray,6-Speed Automatic with Tiptronic,28,38,31485,12455,Ancira Volkswagen of Laredo,2021-08-28
5NPE24AF8GH367607,2016,Hyundai,Sonata,2.4L SE,Sedan,Quartz White Pearl,Gray,Automatic,25,38,95486,12766,Ancira Nissan,2021-08-28
KNDJP3A55F7751428,2015,Kia,Soul,+,Hatchback,Inferno Red,Black,Automatic,23,31,74572,12988,Ancira Volkswagen of San Antonio,2021-08-28
5NPD74LF5HH190106,2017,Hyundai,Elantra,SE,Sedan,Phantom Black,Beige,Automatic,29,38,80222,12991,Ancira Nissan,2021-08-28
5XXGM4A76FG503321,2015,Kia,Optima,LX,4dr Car,Titanium Silver,Gray,Automatic,23,34,92828,12999,Ancira Kia,2021-08-28
1N4AL3AP3FN366609,2015,Nissan,Altima,2.5 S,Sedan,Java Metallic,Beige,Variable,27,38,74094,13491,Ancira Nissan,2021-08-28
KNDJP3A50G7316205,2016,Kia,Soul,Plus,4D Hatchback,Carribean Blue,Black,6-Speed Automatic,24,31,69344,13691,Ancira Volkswagen of Laredo,2021-08-28
1C3CCCAB6GN190183,2016,Chrysler,200,Limited,4dr Car,Billet Silver Metallic Clearcoat,Black,Automatic,23,36,88192,13991,Ancira Kia,2021-08-28
5XXGM4A7XFG467066,2015,Kia,Optima,LX,4D Sedan,Satin Metal,Beige,6-Speed Automatic with Sportmatic,23,34,86786,13991,Ancira Chevy,2021-08-28
1G1BE5SM6G7297390,2016,Chevrolet,Cruze,LT,4dr Car,Mosaic Black Metallic,Jet Black,Automatic,30,42,70398,13996,Ancira Volkswagen of San Antonio,2021-08-28
1C4NJCBA5GD524645,2016,Jeep,Compass,Sport,Sport Utility,Bright White Clearcoat,Dark Slate Gray,Variable,22,26,75162,13997,Ancira Chrysler Jeep Dodge Ram,2021-08-28
