vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
KMHDU46D39U697849,2009,Hyundai,Elantra,GLS,Sedan,Captiva White,Beige,automatic,25,33,151935,5991,Ancira Nissan,2022-04-01
KNAFU4A24D5682229,2013,Kia,Forte,EX,Sedan,Snow White Pearl,Stone,automatic,26,36,170920,6291,Ancira Nissan,2022-04-01
1G1JA5SH0G4125397,2016,Chevrolet,Sonic,LS,4D Sedan,Blue Velvet Metallic,Jet Black/Dark Titanium,automatic,24,35,187286,6991,Ancira Chevy,2022-04-01
4T4BF3EK3BR120620,2011,Toyota,Camry,LE,Sedan,Blue Ribbon Metallic,Bisque,automatic,22,32,230409,6991,Ancira Nissan,2022-04-01
2G4GN5EC4B9176473,2011,Buick,Regal,CXL,4dr Car,Cyber Gray Metallic,Ebony,automatic,19,30,125949,7991,Ancira Buick GMC,2022-04-01
4T4BE46K78R037949,2008,Toyota,Camry,LE,4dr Car,Silver,-1,Manual,21,31,132596,8491,Ancira Buick GMC,2022-04-01
4T1BK36B49U331095,2009,Toyota,Avalon,Limited,Sedan,Black,Graphite,automatic,19,28,166872,8991,Ancira Nissan,2022-04-01
JM3ER2A54C0421037,2012,Mazda,CX-7,i SV,SUV,Brilliant Black,Black,automatic,20,27,126144,8991,Ancira Nissan,2022-04-01
WBAWL73519P180270,2009,BMW,3 Series,335i,Convertible,Blue Water Metallic,Black,automatic,17,26,164825,9387,Ancira Nissan,2022-04-01
1G1JA5SH4F4217188,2015,Chevrolet,Sonic,LS,Sedan,Blue Velvet Metallic,Jet Black/Dark Titanium,automatic,25,35,107766,9991,Ancira Nissan,2022-04-01
SAJWA51A17WJ22841,2007,Jaguar,X-TYPE,3.0,4D Sedan,Liquid Silver Metallic,Stone,automatic,18,24,91903,9991,Ancira Chevy,2022-04-01
1G4HJ5EM0BU143224,2011,Buick,Lucerne,CXL Premium,4D Sedan,Sand Beige Metallic,Cocoa/Cashmere,automatic,17,27,146967,9991,Ancira Chevy,2022-04-01
1FTRX14W07FB80885,2007,Ford,F-150,XL,Extended Cab Pickup,Redfire Clearcoat Metallic,Medium Flint,automatic,15,19,142844,9991,Ancira Nissan,2022-04-01
1GCCS13E098100523,2009,Chevrolet,Colorado,LT,4D Crew Cab,Victory Red,Ebony,automatic,17,23,150715,9991,Ancira Chevy,2022-04-01
1YVHZ8BH8A5M24812,2010,Mazda,Mazda6,i Sport,4dr Car,Black Cherry Metallic,Black,automatic,21,30,76463,10495,Ancira Volkswagen of San Antonio,2022-04-01
